
------ 1926311864 :: Soul Filcher's Clearing Time ------

1926311864::EN::ItemName_Base.CuttingBoardWooden = "Wooden Cutting Board",
1926311864::CN::ItemName_Base.CuttingBoardWooden = "ceshiceshi木质砧板dafdsa",
	1926311864::EN::ItemName_Base.PoolballInSock = "Poolball In Sock",
	1945359259::EN::IGUI_Dream102 = "Lying in my bed, stories of supernovas and space adventures float before my eyes. But suddenly my room is filled with bright light, and I wince. <LINE> <LINE> I look out the window and see a UFO flying straight towards my house. I am dazed and frightened, and when a UFO has landed in my yard, I realize that I cannot escape. <LINE> <LINE> The UFO's door swung open, and creatures appeared right in front of the flying saucer. They were tall, with thin limbs, large eyes and strange bodies. I couldn't figure out how to communicate with them, but they have an unusual ability that allows them to transmit their thoughts directly to my brain. <LINE> <LINE> They invited me on board and began to conduct medical research on me. I feel strange vibrations and electrical impulses running through my body, but I don't feel any pain. After a while, I began to realize that they were studying my body and my brain, but there was nothing I could do to stop it. <LINE> <LINE> After several hours of testing, they let me go. I instantly go back to my room and wake up...",
	1945359259::CN::IGUI_Dream102 = "躺在床上, 脑海中浮现超新星和太空冒险 <LINE> 的故事.  <LINE> 突然房间充满强光, 我眯起眼睛.  <LINE> 望向窗外, 看到UFO直冲我家而来.  <LINE> 我既惊讶又害怕, 当UFO降落在院子里时,  <LINE> 我知道无法逃脱. UFO门开了, 生物出现在 <LINE> 飞碟前.  <LINE> 它们高大瘦削, 大眼睛, 奇怪的身体.  <LINE> 无法沟通, 但它们有种特殊能力能将想法 <LINE> 直接传入我大脑.  <LINE> 它们邀请我登船进行医学检查.  <LINE> 感到奇怪的振动和电流穿过身体, 但不疼.  <LINE> 几小时后, 它们放我离开.  <LINE> 我瞬间回到房间醒来...",
		1945359259::EN::IGUI_Dream103 = "I am in a dense forest. The space surrounding me is filled with three spirits: earth, air and fire. I feel them surround me and protect me. Looking up, I see a mountain of light that seems to be approaching the earth. It lights up with a bright light, and I feel that the spirits are asking me to climb to the top of the mountain. I start walking, and my soul rises along with the mountain. In the distance I hear a soft cry and turning to it, I see a group of creatures, it looks like balls of fog descending from the mountain. As I get closer, I realize that they are water spirits. They repeat the words \"Forgive us\" and \"We need your help.\" I feel their suffering and decide to help them. <LINE> <LINE> They turn out to be carnivorous monsters that trap humans and drag them along. But I am not afraid and start hitting them using my spirit powers. Despite the fact that they cause me serious damage, I continue to fight. In the end, I break all their nests and free a lot of people. The eruption of bodies floats freely before my eyes, and I see a sign appear in the sky, symbolizing my achievement. My mission is complete and I feel satisfied. I return back to my world knowing that the spirits will always support me.",
		1945359259::CN::IGUI_Dream103 = "我在茂密森林里. 周围空间充满三种灵魂:  <LINE> 大地、空气和火焰. 感觉它们包围保护着我.  <LINE>   抬头看到光的山脉接近地面. 它发出强光,  <LINE> 灵魂们要我登上山顶. 我开始行走, 灵魂 <LINE> 随山上升. 远处传来轻柔哭声, 转身看到一群 <LINE> 雾状生物从山上降下. 靠近后发现是水之灵.  <LINE> 它们重复着'原谅我们'和'我们需要帮助'.  <LINE> 我感受到它们的痛苦决定帮忙. 它们原来是 <LINE> 食人怪物, 诱捕人类拖走. 但我不怕, 开始 <LINE> 用灵魂力量攻击它们. 尽管受伤严重,  <LINE> 我继续战斗. 最终捣毁所有巢穴, 解救许多人.  <LINE> 尸体的爆发自由漂浮在我眼前, 天空中显现 <LINE> 象征我成就的标志. 任务完成, 我心满意足.  <LINE> 回到自己的世界, 知道灵魂们永远支持我.",
	1945359259::EN::IGUI_Dream104 = "Darkness. I can't see anything around me, not a single source of light. Only cold air and the presence of some force that haunts me and fills me with anger and fear. <LINE> <LINE> I begin to feel something begin to enter my mind, as if someone is getting into my brain and starting to control me. But I will not allow myself to be possessed by this creature without a fight. I begin to struggle with this enslavement, but it intensifies, its power and influence on me increase. <LINE> <LINE> Having gained control of my body, the spirit begins to use it to do things I don't want to do. I start screaming, I try to break free from his grip, but he gains control over my body again and again. <LINE> <LINE> My destiny, my soul - all this becomes the object of his desires and I become his plaything in this empty darkness. I feel his presence above me, as if he is trying to thresh my soul, crush it in his hands. <LINE> <LINE> My being turns into a metallic ball of pain, I feel every movement. It presses on every cell of my body, tightening my muscles, disrupting my breathing, making it painful and heavy. <LINE> <LINE> I think I'm about to die from this pain. But I do not give up, I will never give up, because there is strength in me, because I am sitting on my knees in front of the demon, trembling inexorably and ferociously with the pallor of a martyr. <LINE> <LINE> I carry the sword in my hand and bow my head to see my reflection in it. I see how the spirit moves into my closed world, I hear its cold and abusive voice. <LINE> <LINE> Now I know what I need to do, I will dare, stand up, look the Predator in the eyes, brandish my sword and pounce on him. I will not let him trample my essence, grind me into the ground. <LINE> <LINE> With fire in my eyes, I strike after blow, never stopping until I'm dead and free of his darkness.",
	1945359259::CN::IGUI_Dream104 = "黑暗. 我什么都看不见, 只有冰冷的空气和 <LINE> 困扰我的力量, 充满愤怒与恐惧. 感觉有东 <LINE> 西侵入我的思想, 像有人在控制我的大脑.  <LINE> 但我不允许自己被这个生物奴役. 我开始反抗,  <LINE> 但它的力量和控制力越来越强. 控制我的身体 <LINE> 后, 灵魂开始用它做我不愿做的事. 我尖叫挣 <LINE> 扎, 但它一次次重新控制. 我的命运、灵魂 <LINE> ——都成了它欲望的玩物. 感觉它在我上方,  <LINE> 像要碾碎我的灵魂. 我的存在变成疼痛的金属 <LINE> 球, 感受每个动作. 它压迫每个细胞, 肌肉 <LINE> 紧绷, 呼吸痛苦沉重. 我以为要疼死了. 但 <LINE> 不放弃, 永不放弃, 因为我内心有力量, 因为 <LINE> 我跪在恶魔面前颤抖, 像烈士一样苍白.  <LINE> 我手握利剑低头看剑身上的倒影. 看到灵魂 <LINE> 进入我封闭的世界, 听到它冰冷辱骂的声音.  <LINE> 现在我知道该做什么了, 我要站起来直视 <LINE> 捕食者的眼睛, 挥舞利剑扑向它. 我不会让 <LINE> 它践踏我的本质, 把我碾入尘土.  <LINE> 眼中带着怒火, 我一剑又一剑地攻击,  <LINE> 永不停歇, 直到死亡让我从它的黑暗中解脱.",
	1945359259::EN::IGUI_Dream105 = "I see a project in front of me that no one can complete. But I know that this is my calling. I start work on a project, every step is difficult, but I kept going. I come up with new solutions, make changes, every day I get closer to the goal. My team is growing and getting stronger, together we overcome every difficulty. I don't know how we do it, but every day we improve the project. And here is one moment when everything seems hopeless, when we are faced with an insurmountable problem. But we do not give up and find a way out of the situation. As the project gets more and more perfect, I get an unfamiliar feeling. It was some kind of celebration, really. I have confidence that our project will become a real breakthrough in the world. And now, finally, the project is completed and I understand that it was difficult, but significant. I feel that this is one of the most successful moments of my life and I understand that much more can be done.",
	1945359259::CN::IGUI_Dream105 = "我看到面前有个无人能完成的项目. 但我知道 <LINE> 这是我的使命. 开始工作, 每一步都很艰难,  <LINE> 但我坚持. 想出新方案, 做出改变, 每天离 <LINE> 目标更近. 团队成长壮大, 我们一起克服每个 <LINE> 困难. 不知怎么做到的, 但我们每天都在改进 <LINE> 项目. 当一切看似无望, 面临无法解决的问题 <LINE> 时, 我们不放弃并找到出路. 随着项目越来 <LINE> 越完善, 我有了陌生感觉. 像是庆典. 确信 <LINE> 我们的项目将成为世界突破. 最终项目完成,  <LINE> 我明白虽然艰难但意义重大. 这是我生命中 <LINE> 最成功的时刻之一, 我知道还能做得更多.",
	1945359259::EN::IGUI_Dream106 = "I'm in a strange place, like I'm in a room I don't know. My heart is beating faster than usual and I feel that there is someone else here. Suddenly, three familiar figures appear in front of me: my old friends, whom I have not seen for many years. I can't believe my eyes and involuntarily smile in surprise. They, as if nothing had changed, and we meet again here, in this strange place. <LINE> <LINE> We begin to communicate fleetingly. But many questions already arise in my head: why are we here, what has happened over all these years, what is new in the life of my friends? Even though we can't talk to each other like we're on the phone, I feel like they're here with me and everything matters. <LINE> <LINE> After a while, a friend I don't know appears. He mysteriously nods his head and shows us on the screen, where we see a beautiful bird soaring above the ground. I understand that this is a symbol of our freedom, lightness and carelessness. My friends are smiling and I feel that something important is about to happen. <LINE> <LINE> All of a sudden, this stranger in home clothes we saw earlier starts talking to me in a language I don't understand. He looks at me as if noticing my vague incomprehensibility, and says something interesting in his native language. I do not understand every word, but I feel that everything is happening exactly as it should be. <LINE> <LINE> Despite the complexity of the language, we understand each other without words - and as if on the phone - we continue to communicate. My friends are leaving and I don't want them to leave.",
	1945359259::CN::IGUI_Dream106 = "我在陌生地方, 像不认识的房间. 心跳比平时 <LINE> 快, 感觉还有别人. 突然三个熟悉的身影出现 <LINE> : 多年未见的老友. 不敢相信自己的眼睛,  <LINE> 不自觉地微笑. 他们一点没变, 我们在这个 <LINE> 陌生地方重逢. 我们开始闲聊. 但我脑中已 <LINE> 充满问题: 我们为什么在这里? 这些年发生了 <LINE> 什么? 朋友们有什么新鲜事? 虽然不能像打 <LINE> 电话那样交谈, 但感觉他们就在身边, 一切都 <LINE> 重要. 过了一会儿, 一个不认识的熟人出现了.  <LINE> 他神秘地点头, 在屏幕上向我们展示一只翱翔 <LINE> 的美丽鸟儿. 我明白这是我们自由轻松的象征.  <LINE> 朋友们笑了, 我感觉有重要的事要发生.  <LINE> 突然, 我们之前看到的穿家居服的陌生人开始 <LINE> 用我听不懂的语言对我说话.  <LINE> 他注意到我的困惑, 用母语说了些有趣的话.  <LINE> 我不懂每个词, 但感觉一切本该如此.   <LINE> 尽管语言不通, 我们无需言语就能理解—— <LINE> 像在打电话一样继续交流. 朋友们要离开了,  <LINE> 我不希望他们走.",
	1945359259::EN::IGUI_Dream107 = "I lie on the soft green lawn that surrounds a huge white palace. The sun shines brightly overhead, but its rays do not blind, but give warmth and tranquility. Birds chirping in the distance, and the smell of freshly cut grass. <LINE> <LINE> There are two strangers on the lawn with me, but I don't feel fear or anxiety, because their smiles and manners suggest that they are affable and kind. Wings are depicted on their clothes, they look like angels. <LINE> <LINE> They ask me questions in a language I don't know, but I understand their thoughts and answer them in their own language, which is completely incomprehensible to me. They smile when I answer, as if they are pleased with my knowledge of their language. <LINE> <LINE> Soon I notice that there are children near us, who are happily playing and laughing. The angels tell me that these are children who have recently passed away and went to heaven. <LINE> <LINE> They say that each of us comes to earth with a mission and that only those who successfully complete it can go to heaven. And those who failed their mission go to hell. <LINE> <LINE> We walk through the palace and the vast garden, where the most beautiful flowers and trees grow that I have ever known. The angels tell me stories about what the lives of the people who are now in heaven were like. I listen to their stories with wonder and awe. <LINE> <LINE> A few hours pass, maybe a few days, I can't tell because there's no time here. Finally, the angels inform me that it is time to return to earth. I feel a strong anguish and sadness as they escort me to the main entrance to the palace.",
	1945359259::CN::IGUI_Dream107 = "我躺在白色宫殿周围的柔软绿草坪上.  <LINE> 阳光明媚但不刺眼. 远处鸟鸣, 新割草坪的 <LINE> 香气. 草地上还有两个陌生人, 但我不害怕,  <LINE> 因为他们的微笑和举止友善可亲. 衣服上绣着 <LINE> 翅膀, 他们像天使. 他们用我不懂的语言提问,  <LINE> 但我理解他们的思想, 并用他们的语言回答 <LINE> 这语言对我本应完全陌生.  <LINE> 他们听到回答后微笑, 似乎对我的语言能力很 <LINE> 满意.  <LINE> 很快我注意到附近有快乐玩耍欢笑的孩子们.  <LINE> 天使告诉我这些都是刚去世上天堂的孩子.  <LINE> 他们说我们每个人来到人间都有使命,  <LINE> 只有完成使命的人才能上天堂.  <LINE> 失败者下地狱.  <LINE> 我们穿过宫殿和广阔花园, 那里生长着我见过 <LINE> 最美的花草树木. 天使们讲述现在天堂里的 <LINE> 人们生前的故事. 我惊奇敬畏地听着.  <LINE> 几小时或几天过去——这里没有时间概念.  <LINE> 最后天使告诉我该回人间了. 我强烈地感到 <LINE> 不舍和悲伤, 他们送我到大门口.",
	1945359259::EN::IGUI_Dream108 = "I am inside a complex labyrinth. The general feeling is filled with anxiety and misunderstanding of what is happening, but I understood that I needed to move in order to find a way out. The first steps were easy, I move along wide corridors filled with light. But as you progress, things get more difficult. <LINE> <LINE> I pass through narrow passages where the walls seem alive and change their shape, Face many locked doors and windows, behind which I see unfamiliar worlds and unknown people. From time to time I find threads of light that lead me in a certain direction. I keep moving, trusting that my luck will get me out of this maze. <LINE> <LINE> I find myself in a very wide room with strange symbols carved into the floor. At first they seemed to me just an ornament, but as I study them, they began to transform and acquire a magical essence. The symbols are carved in a language that was unknown to me, but I feel that they have a deep meaning and hidden magic. I can feel them in my palms, they tingle on my skin like a weak electric current... <LINE> <LINE> The symbols look incredibly detailed and carefully crafted. They are complex geometric patterns intertwined and create images of unusual creatures and images. At first glance, this is just a set of characters, but I understand that they have a deep meaning. <LINE> <LINE> I feel that these symbols can lead me to the true secrets of the universe, but at the same time I am afraid of the sorcery they carry. Symbols greedily absorb all my attention, trying not to miss a single detail, and despite my fear, I go through them to leave a mark and understand what they can mean. <LINE> <LINE> The walls are covered in dark black mold, and the cracks in the floor are spewing icy smoke... my hands are frosted, but I don't feel the cold. I pass through the door and find myself in a large round room, where the key element is a huge mirror. I look into it, I see my reflection, in the reflection behind my shoulder is a mysterious person smiling at me. It frightens me, and I want to look away. I can't turn my head, and only the movement of my eyes is within my control. <LINE> <LINE> However, I had to stop when I stumbled upon the next challenge. This is a running maze that was in a winter landscape. I start to run, but my legs are stiff from the cold. My breaths are getting heavier and I can't breathe anymore. I stop to rest, but suddenly I get an electric shock that gives me new energy, and I continue running. <LINE> <LINE> I run, I jump, I do somersaults, but I keep falling into the same traps, forcing me to start all over again. Finally, I accidentally choose the right path, and I have the opportunity to get out of this maze.",
	1945359259::CN::IGUI_Dream108 = "我身处一座复杂的迷宫. 内心充满焦虑和对 <LINE> 现状的困惑, 但我明白必须移动才能找到出 <LINE> 口. 最初的几步很轻松, 我沿着灯火通明的 <LINE> 宽阔走廊前进. 但随着深入, 情况变得艰难.  <LINE> 我穿过狭窄的通道, 那里的墙壁仿佛活物般 <LINE> 改变形状, 面对无数上锁的门窗, 透过它们 <LINE> 能看到陌生的世界和素未谋面的人们. 偶尔 <LINE> 会发现指引方向的光之丝线, 我追随着这些 <LINE> 光芒前进, 相信运气会带我离开这座迷宫.  <LINE> 我来到一个异常宽敞的厅堂, 地板上刻满 <LINE> 奇异符号. 起初它们只是装饰, 但仔细观察 <LINE> 后竟开始变形, 散发出魔法本质. 这些用未知 <LINE> 语言镌刻的符号让我掌心刺痛, 如同微弱电流 <LINE> 刺激皮肤...这些符号精细得令人惊叹,  <LINE> 是相互交织的复杂几何图案, 构成奇特生物的 <LINE> 形象. 乍看只是杂乱字符, 但我明白它们 <LINE> 暗藏深意.  <LINE> 我感觉这些符号能揭示宇宙真谛, 同时也畏惧 <LINE> 其中蕴含的巫术. 它们贪婪地吸引我的注意力,  <LINE> 我强忍恐惧抚摸它们, 试图理解其中含义.  <LINE> 墙壁爬满黑色霉菌, 地缝渗出刺骨寒雾... <LINE> 双手结霜却感受不到寒冷. 穿过一扇门后,  <LINE> 来到以巨大镜子为核心的圆形厅堂.  <LINE> 镜中我的倒影身后, 站着对我微笑的神秘人.  <LINE> 恐惧让我想移开视线, 却发现除眼球外全身 <LINE> 都无法动弹.  <LINE> 新的挑战是冬季迷宫竞速. 我开始奔跑,  <LINE> 双腿却因严寒僵硬. 呼吸越来越重直到窒息.  <LINE> 停下休息时, 一道电流突然贯穿全身,  <LINE> 赋予我继续奔跑的能量. 奔跑、跳跃、翻滚,  <LINE> 却总是落入相同陷阱被迫重来. 最终 <LINE> 偶然选对路线, 终于看到出口.",
	1945359259::EN::IGUI_Dream109 = "Restless breathing and dark lump. Sounds from afar draw my attention to me. Everything around me is dark and gloomy, I understood that they had come. Huge monsters, which have terrified me all my life, stand before me. I think over every detail of the actions and every my future movement. <LINE> <LINE> Quickly lost in thought, I get to work. They are all big, strange creatures that are incomprehensible to anyone except those who fought with them. I look at all this chaos, but my partner will look at me with sincere eyes - she wants me to protect her. <LINE> <LINE> I'm starting to think about how to cross the line and win. I think about all my friends and loved ones, and about how many people these monsters destroyed. I understand that I cannot stand and watch them continue their murders. I know that this battle must be won. <LINE> <LINE> My plan is simple - hit them quickly and accurately. I begin to use all my tools and skill - pretending to be stricken with blindness - to bypass them and attack when they are alert. Used my ability and speed to enter the fight like a whirlwind. <LINE> <LINE> However, they do not recede as I would like them to. They keep attacking and attacking me. I will not Give Up! I used my skills and in the end, I defeat them all. They have been defeated and I feel stronger.",
	1945359259::CN::IGUI_Dream109 = "急促的呼吸与黑暗肿块. 远方声响将我拉回 <LINE> 现实. 周遭昏暗可怖, 我明白它们来了. 那 <LINE> 些终生恐惧的巨兽就站在面前, 我仔细推敲 <LINE> 每个动作细节. 恍惚间已投入战斗. 这些庞 <LINE> 大怪物只有与它们搏斗过的人才能理解. 混 <LINE> 乱中, 搭档用真诚的目光注视我——她需要 <LINE> 我的保护. 我开始构思制胜策略. 想起被这 <LINE> 些怪物摧毁的亲友, 明白不能坐视屠杀继续.  <LINE> 这场战斗必须胜利. 我的计划简单明确:  <LINE> 快准狠地打击. 佯装失明绕到警觉的怪物身后,  <LINE> 以旋风之势发起进攻. 但它们并未如预期般 <LINE> 退缩. 在持续猛攻下, 我绝不放弃! 最终用 <LINE> 尽所有技巧消灭了它们. 胜利让我感到前所 <LINE> 未有的强大.",
	1945359259::EN::IGUI_Dream10_Say = "What a pleasant dream I had.",
	1945359259::CN::IGUI_Dream10_Say = "我做了个美梦.",
	1945359259::EN::IGUI_Dream11 = "I am sitting in the audience, a lesson is in progress. As before in pairs, I periodically go to sleep on my arm. Waking up, I decide to check if I am sleeping and count the fingers on my hand. Instead of 5 I count 6 first, then 8, I understand that something is wrong, once again I ask myself the question. - Am I sleeping? and counting the fingers. It dawns on me that I'm sleeping. A teacher walks nearby and I hesitate to get up from my seat. Then I think about the need to fly. I’m on the plane, I find the seat belt on the left, I look at the seat on which I am sitting, it is black leather, glistens, I run it over with my hand. Then I say to the person sitting next to me so that he does not disturb me, now I will sleep.",
	1945359259::CN::IGUI_Dream11 = "我坐在教室里上课.  <LINE> 像从前那样, 我时不时枕着手臂打瞌睡.  <LINE> 醒来后决定确认自己是否在梦中, 于是数手 <LINE> 指.  <LINE> 本该5根的手指先是数出6根, 然后是8根,  <LINE> 我意识到不对劲, 再次自问.  <LINE> - 我在做梦吗?  <LINE> 又数手指.  <LINE> 突然明白过来自己确实在梦里.  <LINE> 老师从旁边走过, 我犹豫着不敢起身.  <LINE> 然后想到应该飞起来.  <LINE> 转眼我就在飞机上了, 找到左侧的安全带,  <LINE> 看着自己坐的黑色真皮座椅闪闪发亮, 用手 <LINE> 抚过表面.  <LINE> 我对邻座的人说别打扰我, 现在要睡觉了.",
	1945359259::EN::IGUI_Dream110 = "I am standing in a bright hall, where the guests, dressed in evening dresses, are laughing and talking around me. The lamps on the ceiling shimmer with different colors, creating an atmosphere of celebration and carelessness. Behind the glass door that leads to the balcony, I see a beautiful view of the city, illuminated by the bright moon and stars. <LINE> <LINE> A few steps away from me is a famous person that I am attending this party. We talk about the food we just had and what a pleasant experience we will definitely remember this evening. From the kitchen comes the smell of a special dish I ordered for this party. <LINE> <LINE> Meanwhile, music plays throughout the hall, giving me a sense of rhythm and movement. Lots of people are dancing, brightening up the party with their colorful outfits. I watch them, enjoying how they boldly and freely perform their dance moves. <LINE> <LINE> Throughout the evening, I enjoy great company that has given me many familiar and new faces. I meet several designers and representatives of famous clothing brands, as well as famous actors and musicians. <LINE> <LINE> But the most interesting thing happens at the end of the evening. I am a famous boxer, whom I respect a lot, came up to me and offered to continue our conversation in a certain place. I agree and we went through the glass door to the balcony, from where we could see the whole city. <LINE> <LINE> We talk about life, about my dreams, plans for the future. He shares his stories with me about how he achieved his goals and gives me a lot of advice. After a long and interesting conversation, we shook hands, and he left, leaving me on this balcony.",
	1945359259::CN::IGUI_Dream110 = "我站在灯火辉煌的宴会厅, 身着晚礼服的宾 <LINE> 客在周围谈笑. 水晶灯折射出七彩光芒, 营 <LINE> 造出无忧无虑的庆典氛围. 玻璃门外, 明月 <LINE> 繁星下的城市美景尽收眼底. 几步之外是这 <LINE> 场派对的主宾——某位名人. 我们谈论刚享 <LINE> 用的美食, 确信今晚会是难忘的体验. 厨房 <LINE> 飘来我为派对特订菜肴的香气. 音乐回荡在 <LINE> 整个大厅, 人们随着节奏起舞, 缤纷服饰让 <LINE> 派对更显生动. 我欣赏着他们自由奔放的舞 <LINE> 姿. 整晚都与新旧面孔畅谈, 包括著名服装 <LINE> 设计师、演员和乐师. 高潮在派对尾声降临:  <LINE> 我最尊敬的拳击冠军走来, 邀请我去阳台继 <LINE> 续聊天. 我们谈论人生理想, 他分享成功经 <LINE> 验并给予建议. 长谈后我们握手道别.",
	1945359259::EN::IGUI_Dream111 = "The gentle edges of the green saturated forest were so clear that they seemed real. I inhale deeply fresh air, but for a few moments I feel that something is wrong - my feet do not touch the ground. I begin to realize that I am flying over the forest. After making a couple of clumsy movements, I understand that the movements of my hands allow me to maneuver in the air. <LINE> <LINE> A sense of freedom overwhelms me, and I forget everything else. I circle over the treetops with ease, plunging insinuatingly into the forest to smell its scents. The wind lashes my face with hair, creating the illusion of unimaginable speed. <LINE> <LINE> The forest split into three parts, a volcano emerged from it, a haze swept over the surface of the earth, cold and nasty. But I don't let her get close - the fire has filled every cell of my body, and I start a swift flight into the sky, changing my place of residence mixed with crazy thoughts. <LINE> <LINE> Animal and humanoid hatch out of the wet glare of the lake, and I shake my head respectfully as I fly past them. It seems to me that I can continue to hover above the ground indefinitely, but the more time passes, the stronger I become, decrepit and weak. <LINE> <LINE> The walls of reality bring me back to the real world, throwing me onto the cold floor. I flatten out and stay on my back with my arms extended over my head.",
	1945359259::CN::IGUI_Dream111 = "苍翠森林的边缘清晰得近乎真实. 深吸新鲜 <LINE> 空气时, 突然发觉双脚离地——我正翱翔在 <LINE> 林海之上. 笨拙地扑腾几下后, 发现手臂摆 <LINE> 动能控制飞行方向. 前所未有的自由感淹没 <LINE> 了我. 轻松掠过树冠, 俯冲嗅闻草木芬芳.  <LINE> 疾风拂面, 恍若超音速飞行. 森林突然裂成 <LINE> 三部分, 火山喷发带着刺骨寒雾席卷大地.  <LINE> 但我体内燃起烈焰, 冲天而起摆脱雾气的纠 <LINE> 缠. 湖面倒影中浮现半人半兽的生物, 我飞 <LINE> 过时向它们点头致意. 起初以为能永远翱翔,  <LINE> 却感到力量随时间流逝. 现实之墙将我狠狠 <LINE> 摔回地面, 呈大字型仰躺在冰冷地板上.",
