ItemName_Base.TatteredPaper = "Tattered Paper",
UI_ImmersiveLore_Story_102_Title = "Crumpled Music Festival Flyer",
UI_ImmersiveLore_Story_103_Content = "You are cordially invited to...\n\nA 4th of July Luxury Cruise Aboard The Historic P.S. Delilah\n\nStep back in time to a more elegant, simpler period in history when you board the luxury sternwheel steamship Delilah for this extravagant pleasure cruise celebrating both the exciting Independence Day holiday and our ship's own centennial.\n\nP.S. Delilah was constructed in Pittsburgh, PA, in 1893 as a revenue steamer ferrying passengers up and down the majestic Ohio River. In 1967, a fire destroyed much of the ship's superstructure and threatened her with scrapping. However after a generous grant to the Friends of Delilah by a Louisville-based benefactor, our proud ship was restored in 1984 and returned to its rightful place as a shining gem among the paddlewheel steamships of the upper Mississippi system.\n\nToday the P.S. Delilah cruises the pristine Ohio River along one of its most verdant stretches, navigating between Brandenburg and Louisville, KY, with exciting views of riverfront New Albany, IN, as the ship circles back under the grand Sherman Minton Bridge. Operated by Friends of Delilah, LLC, the P.S. Delilah makes for a beautiful and thoughtfully curated venue for your party, function, or any other gathering.\n\nThis Independence Day, the Friends of Delilah invite you to join us for a five-hour dinner excursion, leaving port in Brandenburg at 5 PM and returning around 10 PM. Live music, fresh-cooked food, and dancing will be on the itinerary as the P.S. Delilah gently glides along the banks of Knox Country, lit up in the warm and mesmerizing glow of fireworks displays challenging even the Moon in their brightness and majesty.\n\nBook your spot to partake in this once-in-a-lifetime event now. Tickets begin at $150. First come, first served. Friends of Delilah, LLC, is not responsible for the health or safety of individuals or parties aboard the historic P.S. Delilah. Alcohol is not permitted on deck.",
UI_ImmersiveLore_Story_103_Title = "P.S. Delilah 4th of July River Cruise Flyer",
UI_ImmersiveLore_Story_104_Content = "Don't drink the stuff in the milk jugs. It's hydrogen peroxide. It looks like water and you're probably thirsty but it won't quench your thirst, it'll just liquify your guts. Just leave it alone, OK? It's only good for cleaning out wounds and getting blood out of stuff. So it's useful but DON'T DRINK IT. I really don't want to have to clean up afterwards if you do.",
UI_ImmersiveLore_Story_104_Title = "Don't Drink It",
UI_ImmersiveLore_Story_105_Content = "3-2-8-3-2-8-3-2-8\n4-2-3-6-4\n0-8-9\n3-2-8-3-2-8-3-2-8\nx2\nthen it beeps a few times, then it says\n3-7-4-1-1\n6-3-9-6-0\n4-0-2-6-7\n3-2-6-2-8\n3-4-6-7-4\n4-9-8-7-0\n3-6-2-4-3\n4-7-8-7-9\n8-6-0-8-9\n9-3-1-8-1\n5-0-8-1-9\n5-7-4-9-9\n0-3-8-1-3\n9-7-6-6-5\n2-1-6-9-6\n9-9-6-7-7\n8-0-7-8-5\n1-8-8-0-3\n8-4-1-9-8\n9-2-8-1-3\nTHEN it says\n"I say again..."\nand repeats some of it and says\n"End"\nwhat the hell?",
UI_ImmersiveLore_Story_105_Title = "Something I recorded off the radio",
UI_ImmersiveLore_Story_106_Content = "Kentucky Driver's License\nTEMP\nSHARON DELANEY\n633 BLAND STREET\nBRANDENBURG KY 40108\n\nW14810-68482 03/25/76\nF 5 04 127 RED BLU X\n04/12/93 10/12/93\nT 14153143 8410801\n\nRose Delaney",
UI_ImmersiveLore_Story_106_Title = "Temporary Driver's License",
UI_ImmersiveLore_Story_107_Content = "PARKING VIOLATION\nCity of Louisville\n\nCITATION# 552439\nVIOLATION FIRE HYDRANT\nDATE/TIME 06/29/93 04:09 PM\nLOCATION CHICKASAW\nPLATE/STATE CACHUP NY\nFEE $100\nDUE 07/29/93",
UI_ImmersiveLore_Story_107_Title = "Ruined Parking Ticket",
UI_ImmersiveLore_Story_108_Content = "Mom and dad are fighting again so I'm hiding here again. It's not very comfy but atleast I can't hear them. Don't know why I'm writing this time. Guess because the paper's here. I hate it when they fight. Atleast this time it's not about something stupid like mowing the lawn. Whatever. I'm gonna ask to stay over at Kenny's this weekend to get away from them. His room doesn't smell like gas atleast. Wish this flashlight wasn't such a battery hog. It's already going out. Stupid.",
UI_ImmersiveLore_Story_108_Title = "Forgotten Note",
UI_ImmersiveLore_Story_109_Content = "Roses are red,\nviolets are blue,\nI wish I were dead,\nhow about you?",
UI_ImmersiveLore_Story_109_Title = "Derivative Love Poem",
UI_ImmersiveLore_Story_10_Content = "To whoever finds this letter, I hope you're not alone in this wretched world. I write this as a final testament, a chronicle of what we once were. We were a group of survivors, bound by hope and resilience. We fought tooth and nail to stay alive, facing hordes of the undead and the ever-encroaching darkness. We formed a family of sorts, finding solace in each other's presence amidst the chaos.\n\nBut one by one, we fell, overwhelmed by the relentless onslaught. I am the last one left, and with a heavy heart, I pen these words. Know that we fought bravely, that our spirits were indomitable until the very end. May this letter be a testament to our strength and a reminder to never lose hope. Carry our memories forward and build a better future. You are not alone. We may be gone, but our spirit lives on.",
UI_ImmersiveLore_Story_10_Title = "The Last Testament",
UI_ImmersiveLore_Story_110_Content = "This shirt belongs to:\nRICKY LOWELL\nPhone 555-0182\nPlease return if found!\nThanks!",
UI_ImmersiveLore_Story_110_Title = "Unstitched Name Tag",
UI_ImmersiveLore_Story_111_Content = "My plan was simple, grab some supplies, pick up Joe, and GTFO of Knox County. I grabbed my last 2 tins of peaches, my largest kitchen knife and my water bottle, keeping silent I headed out the front door and across the street to Joe's place. As I got closer, I could hear dull crackling sounds. Making my way up the front path to Joe's front door, the dull crackling was now deeper and the smell of burning suddenly filled my nose.\nI opened the door and walked inside. Looking around the smoke-filled hallway I found no signs of anyone so I made my way to the stairs and headed up slowly, I had covered my mouth with a rag and was taking as small a breath as I could,\n‘'Joe, you up here'' I spoke as loudly as I dared to. My question was answered not 3 seconds later, BANG BANG, the bedroom door burst open, the entire landing filled with orange light and running at me fully in flames was Joe, A thick gurgle sound came from his ripped open throat.\nI spun on my heels and ran down the stairs and out the front door, slamming it shut behind me, I headed across the street and jumped over my fence. Taking 1 long breath I looked back at Joe's place, fire had taken hold of the front room and Joe was standing at the window, motionless, like a statue engulfed in flames. Staring straight at me.\nI am sorry I couldn't save you Joe",
UI_ImmersiveLore_Story_111_Title = "I Watched Him Burn",
UI_ImmersiveLore_Story_112_Content = "Day 6 – It's been near a week since me and my parents left the city. Dad says the infected won't get better. The army guys at this checkpoint won't talk to anyone, I wish things would just go back to normal.\nDay 8 – The Army have gone! We woke up to the sounds of helicopters and trucks coming to life, before anyone could find out whats going on they had all left. The sick people are at the fences and I think they might break them down. Mom and dad said we got to head west\nDay 9 – We got rammed off the road, those men, they shot my dad and took off in our car. Me and Mom ran into the forest. Why did they do that, why is this happening!\nDay 10 – The men came back, nearly found me. Mom says we will find somewhere to sleep with an actual roof. I think we might be near a town, but I don't know for sure. We need to get through this forest quick as possible\nDay 12 – We are safe for now. Snuck into this house, found some food and 4 bottles of water, we're in the bedroom taking turns keeping watch outside. I hope we get through this.",
UI_ImmersiveLore_Story_112_Title = "Diary Of Jane",
UI_ImmersiveLore_Story_113_Content = "Dear Applicant,\nAt this time, we wish to thank you for your application for the position of firefighter at Rosewood Fire Dept.\nAs you are aware, we have received more than 200 applications for the position and only have 7 spaces available at Rosewood FD.\nAfter several conversations with the surrounding fire departments, we have decided to spread out the applications to every FD in the county. This means that you may be relocated to another FD within the county should you pass the selection process.\nThank you and good luck\nChief George Ridgewood",
UI_ImmersiveLore_Story_113_Title = "Job Application",
UI_ImmersiveLore_Story_114_Content = "Why did I take the scholarship to Louisville? I miss my family, I hate this lockdown, I just want to go home. Shit has hit the fan and I am just stuck here, alone.. My roommate got sick and I don't want to get close to em, looking pale as a cloud right now. How the hell do I get back home? Well, at least I don't have to worry about student loans now..",
UI_ImmersiveLore_Story_114_Title = "Homesick",
UI_ImmersiveLore_Story_115_Content = "You have moved into a dark place.\nIt is pitch black. You are likely to be eaten by a grue.",
UI_ImmersiveLore_Story_115_Title = "Short, Strange Note",
UI_ImmersiveLore_Story_116_Content = "Doe Valley Baptist Church, est. 1967\n\nWe invite you and your family to join us this Saturday, June 12th, to our church for a free all-day BBQ! All are welcome to come enjoy what's sure to be a beautiful summer day and tasty pork ribs fresh smoked by our very own pastor Jimmy Anderson. Games of cornhole and horseshoes will be going around the clock! Seating and shade will be provided, so come one come all!\n\nJune 12th, 1993\n10:00 AM to Sunset\nDoe Valley Baptist Church\n1595 Christian Church Road\n\nWe look forward to seeing you!\nSPONSORED BY CONSOLIDATED CHEMICAL CORP.",
UI_ImmersiveLore_Story_116_Title = "Public Barbecue Flyer",
UI_ImmersiveLore_Story_117_Content = "Compuware DOORWAYS\nOperating System Version 3.1\n\n$149\n\nThe Compuware Doorways operating system enhances CW-DOS to make your computer easier to use. Discover the thoughtless simplicity of Doorways! Create impressive plans with software for Doorways. And save data for use in your favorite programs for CW-DOS. Join the millions worldwide who have made Doorways their standard operating system!\n\nEasy to install, learn, and use.\nExpress Install automatically loads the Doorways operating system onto your computer.",
UI_ImmersiveLore_Story_117_Title = "Shredded Doorways 3.1 Packaging",
UI_ImmersiveLore_Story_118_Content = "Linda,\nIt aint getting better out there. People losing there minds. Wont be long til little places like Rosewood get hit by folks running from Muldraugh. Im getting my stuff together and going somewhere safer. The shop has a big fence and metal doors in case folks try something stupid you know? Im offering you to come out there and stay with me least til the army rolls in. I want to see you there and know your safe. I care about you.\n\nPB Auto Yard. West on Route 60 by the post office cross from the old battle field. Ill be there.",
UI_ImmersiveLore_Story_118_Title = "Unsent Invitation",
UI_ImmersiveLore_Story_119_Content = "I wanna cheeseburger. Steven said he was gonna go get Waffles and we would make cheeseburgers with Waffles but Waffles is with Uncle Harold and Uncle Harold is a vampire so he doesnt have anything to make cheeseburgers with. I wonder if they have cheeseburgers in the future. Steven left his hat in the past with me so I dont know how hes going to find any hamburger. Man I am hungry. Maybe theres still some leftover pancakes. The people outside are making a lot of noise but thats OK. The toilet is clogged again. Uncle Harold would fix it if he wasn't a vampire. Steven would want his hat if he was going where Uncle Harold went so maybe Steven isnt a vampire. I think I should go give Steven his hat. Maybe Ill see Waffles. Maybe Ill find a cheeseburger!",
UI_ImmersiveLore_Story_119_Title = "Bobby's Note",
UI_ImmersiveLore_Story_11_Content = "Dear Mommy and Daddy,\n\nI hope you find this letter someday. It's been so long since I've seen you, and I miss you more than words can say. The world has turned into a scary place, and I've had to be really brave. But sometimes, when the nights are dark and the zombies groan outside, I feel really scared. I wish you were here to hold me tight and tell me everything will be okay.\n\nI've made friends with other survivors, and we try to take care of each other. We share food and stories, and we try to find fun things to do. Sometimes we play hide-and-seek in abandoned houses, but it's not the same without you. I wish I could hear your laughter again and see your smiles.\n\nI found a box of crayons, and I draw pictures to remember you. I draw our old house and the sunny days we used to have picnics in the park. I draw rainbows and flowers because they make me feel happy. I hope you can see these pictures and remember the good times we had.\n\nPlease know that I love you with all my heart, and I'll never stop hoping to see you again. Until then, I'll keep being brave and remembering the love you gave me.\n\nLove,\n\nYour Little Survivor",
UI_ImmersiveLore_Story_11_Title = "Love in the Darkness",
UI_ImmersiveLore_Story_120_Content = "1. Cannibal? Bite marks all over DB washed up on river bank, most organs shredded/missing\n2. Jurisdiction. Til body ID this guy could be from anywhere, poss. even Indiana\n3. Second DB like this. If 3 found this becomes serial. I REALLY do not want to have to get feds involved, let alone staties.\n4. Decomp suggest TOD 4 days ago. Vic 1 was 6 days ago, found in woods by bridge\n5. Possible multiple perps, no way one person can just tear someone's guts open like this with nothing but bare hands",
UI_ImmersiveLore_Story_120_Title = "Cannibalism Case Notes",
UI_ImmersiveLore_Story_121_Content = "Is this some kind of sick joke? I've finally saved up enough money to buy this brand new PC with a built in CD drive, playback capabilities, and immersive audio so I could play CD ROM games like the CD ROM version of King's Quest 5 with fully voiced lines, and let me tell you I was blown away with how immersive it felt, it was like interacting with a live play! Course I've already beaten the game back in 1991 when it was out on floppy but I thought it would be a good test to see what this beast was capable of, and I was ready to go out and buy a few CD ROM games to see what I've been missing out on. But I can't now, why? Because a friggin' zombie apocalypse broke out! And it doesn't seem like this is going to pass either, there's like hundreds of them on my street and NOBODY is taking action, I think the military has given up on us. Well great! And here I was, ready to see the future of gaming only to have a bunch of gray skinned bastards ruined it for me. There was this one game I saw in a PC game magazine, it was called Mist or something, I think they spelled it differently? I don't remember, anyway that magazine was boasting on how that game had 3D rendered graphics, full video play back, and this age system that let you travel to different worlds to solve puzzles. Seems cool right? Probably was going to be ground breaking even, and it was going to release this year but that doesn't seem possible anymore on the account of the world collapsing around me. Awesome!\n\nDon't even know why I'm writing this out, guess I needed to vent, I did spent a lot of money on that PC after all, probably just going to rob the nearby retailer and take a hand full of games to play before the government shuts down... Least I don't have to worry about work tomorrow.",
UI_ImmersiveLore_Story_121_Title = "I got a New PC and THIS Happens!?",
UI_ImmersiveLore_Story_122_Content = "*You notice half the journal's pages are missing, if not more, before you start reading*\n\nFuck. I got up this morning to go for a drive north. I'd been planning out a raid on the police station, I wanted to see if there was any ammo or whatnot left behind. I didn't get past the bend in the highway before I started having corpses bouncing off my hood. They started converging on me, and the more I tried to push on the more I ran into. I won't lie, that shit was hairy. Even with all the armor on my car, if too many of them piled up on me I'd never be able to get out of there.\n\nProbably end up getting stuck tryna drive over piles of guts n shit. So I whipped a quick spin and booked it back south as fast as I could... But I'm not stupid. I know damn well that pretty soon, alllll the freaks from West Point are gonna start stumbling here, and it'll come to a point of me needing to figure out real quick if I wanna stay or go. I REFUSE to be eaten, REFUSE to turn into one of those things, REFUSE to go out like that. I've spent a lot of time fortifying, stocking up, but if it comes down to me vs. a thousand-strong herd of walking corpses, I'm choosing me, no matter what I have to leave behind.\n\nI might as well start packing the trunk and back seat with gear and supplies... I might or might not have enough ammo to take on a herd, but I don't intend to burn through it all to find out. Besides.... At this point, I'd rather save my ammo for other people than the dead ones. I've already had one shootout, their bodies are still rotting out in the street; I run over em every time I go for a drive.\n\nNow that was a story... I think it was... two weeks ago? I wasn't keeping track of the days until now to be honest. I was still in a moody mood from losing the Doc and Alex (fuck Oscar, dumb idiot), and being alone. I go walking out the clinic one day to poke my head around, maybe hit up the bar, see if I can't get something to drink, when out of nowhere a car pulls up. They don't spot me at first. I tensed up, won't lie. Froze on the spot for a sec, rifle slung over my back, pistol on my hip. They got out, four of em.\n\nOne had a metal baseball bat, one had a fireaxe, and two were toting Glocks and machetes. They start looking around the houses first, maybe one of em was from around here, I don't know, but that all changed when one looked down the street and stopped right at me. I guess his silence told the rest of them something was up, because then they ALL looked at me.\n\nKeep in mind... I've been doing shooting competitions, especially fast draw, since I was 10. I'm 24 now, with combat experience to boot from Desert Storm. Anyway... I suppose from the beginning these guys decided that the gear I had was worth the risk, and their moral compasses. We all stood there, staring at each other likes deer in headlights, until the tall one on the side of the car facing me goes for his gun. The other guy does the same, and then axe and bat guy jump to get out of the way-- smart.\n\nProblem is, the driver and other guy didn't even clear their holsters before I dropped em, one shot each. Closer guy wasn't dead though, he starts crying out and tries to pick up his gun now that he'd dropped it. His buddy with the bat also tries to go for it. I pop him first, like three times, he falls down, pistol guy manages to get his gun up. He starts shooting wildly at me, clearly had no aim, but I still ran for cover behind a wall anyway. Instinct I guess.\n\nAxe guy in that time runs back into the fold to get dead driver's piece, and helps his buddy back up. They both start popping rounds at my general direction, but the whole time I've been going round the other side to flank them in the alley, and it works. Pop pop, pop pop, both are dead. I go to grab their guns and search them, and right as I'm packing everything up, the corpses come stumbling out of the woods.\n\nWell, now it's been two weeks, and it's been mostly quiet in the streets, but that's all about to change here soon. I dunno how long it'll take em to shuffle from the bend in the road to here, but I'm seriously wondering if I REALLY want to be here when they show up.",
UI_ImmersiveLore_Story_122_Title = "Mordecai's Journal, Entry 2",
UI_ImmersiveLore_Story_123_Content = "My eyesight's getting blurry now. Figures. It's been three days since I had any insulin. My blood's probably sweeter than damn table syrup at this point. Why the hell would they do that? Close all the pharmacies after one riot? People are stuck on one or the other side of the fence, can't get their meds, trapped either way. I get that some morons figured they could get high nice and quick but the rest of us are just going to die nice and slow. Most everybody just wanted flu meds, all the talk about people getting sick. And I'm stuck here sucking down grey tap water like a humpless camel and eating nothing but string cheese like I'm back in fourth grade. I don't want to die like this, but damn if I don't know what else I'm going to do.",
UI_ImmersiveLore_Story_123_Title = "Sloppily-written Rant",
UI_ImmersiveLore_Story_124_Content = "I'd never been out of Louisville until all this happened. Never even been over in Indiana for more than a few hours. What would've been the point? I worked in town, I lived in town, same thing for mom and LaShawn. It was all there. Whole world, between boxing and batting, Louisville was it all.\n\nAnd now here I am. Sitting in this shed. Don't know whose it was and I don't care too much and I hope he doesn't either because it's mine now and I don't want to deal with him. But if he's out there then he's crazy. Everything out there is crazy. The army shooting folks, folks biting eachother, cars on fire, choppers filming us instead of dropping us food and water. Crazy.\n\nI don't really know how it happened. How I got here. I just got in the car and went driving. People out in the streets, running around, being chased. Mom was sick and LaShawn went out to get meds and didn't come home. And I just left. I couldn't do it anymore. Sit in the middle of it all watching everything break. The entire world went away. I left it behind.\n\nBut it's quiet here. Nobody running and no shooting and nothing on fire that shouldn't be. Just the wind and smell of wood and all this stuff that looks like it's been here for years. Just normal and the same. Like nothing happened. I don't know anything about any of it but it's like I'm home for the first time in two weeks. Even though I can't hear any cars going down the street or children playing in the yard next door or mom yelling for LaShawn to bring her the clicker.\n\nThis is all I need now. This is all the world I need. Just quiet and walls and nothing and me. It's all I need. This is everything.",
UI_ImmersiveLore_Story_124_Title = "The World",
UI_ImmersiveLore_Story_125_Content = "The Ruler of the Entire Universe wages psychological warfare on the galaxy.\nInnocent millions suffer under the reign of darkness which has fallen across all of space.\nOnly a courageous hero with quick reflexes and sharp wit can hope to challenge the cruelty and vanity now seated at the dark heart of time and space.\n\nWill you prove yourself to be that hero? Will you team up with the most ultimate Ghost-Ball Beast against the Ruler of the Entire Universe's scurvy canine lieutenants, Duchess and Foxy?\nWill you conquer all quadrants of the galactic arena and restore peace across the dusky expanses, allowing life and hope to spring anew? Will tales of your fortitude live on for a thousand generations?\n\nDiscover your destiny in...\n\nBIP-BOP III\n\nSend $20 to S&M Software\nDeltona, FL\nCopyright 1993",
UI_ImmersiveLore_Story_125_Title = "Weird Video Game Advertisement",
UI_ImmersiveLore_Story_126_Content = "1987 Chevalier Dart\nRUNS GOOD\nSmokes Around Exhaust Manifold\nFLOOR SOLID\nRocker/Fender Surface Rust\nGAS SAVER\n3spd Auto Trans\n1.5L MASTERSON ENGINE\n$750 555-0121",
UI_ImmersiveLore_Story_126_Title = "For Sale Window Card",
UI_ImmersiveLore_Story_127_Content = "My name is Oliver if you are reading this than good job, that means you are still alive if you want to keep that way you will head to March Ridge. There is a bunker close to the school that is where I am heading I've heard other people are there. I have been leaving notes on the way so if you find this leave it for the next person. Play it slow and have hope, I will see you there.",
UI_ImmersiveLore_Story_127_Title = "Have Hope",
UI_ImmersiveLore_Story_128_Content = "My name is Oliver if you came here from one of my notes don't worry I left whatever I couldn't carry behind. I was planning on sticking around and trying to see if anyone would show but it's becoming more apparent that it doesn't matter if anyone even did. You have seen it, you know what its like. So that's it, I am going to try and make to Missouri, I had family there and even if they didn't make it I think they deserve a proper burial. Hope is gone friend, there is only the hope of making it long enough to die from age and not one of them cannibalized freaks. If someone is reading this you are dead you just don't know it yet.",
UI_ImmersiveLore_Story_128_Title = "Hope is gone",
UI_ImmersiveLore_Story_129_Content = "*Hastily written* My name was Oliver!",
UI_ImmersiveLore_Story_129_Title = "Bloodied crumpled note",
UI_ImmersiveLore_Story_12_Content = "Dear Diary (and any fellow survivors who might find this),\n\nToday I had the most hilarious encounter with a zombie. Picture this: I was sneaking through an abandoned grocery store, scavenging for supplies when I accidentally knocked over a shelf full of canned goods. The noise attracted a nearby zombie, and as it stumbled towards me, I did the only thing I could think of-I threw a banana at it.\n\nYes, a banana! I mean, who knew zombies could slip on banana peels just like in those old cartoons? It was like watching a slapstick comedy routine come to life. That zombie went down faster than a sack of potatoes. I couldn't help but burst into laughter while it flailed around on the slippery floor.\n\nI know, I know, it's a strange and absurd tactic, but desperate times call for desperate measures, right? Plus, it lifted my spirits and reminded me that even in the darkest moments, laughter can be found.\n\nSo, fellow survivors, if you're feeling down or need a good chuckle, consider the power of the banana. Not only is it a tasty snack, but it also doubles as a zombie-trippin' device. Just make sure you have a backup plan in case they regain their footing!\n\nStay safe and keep laughing,\n\nThe Banana Bandit",
UI_ImmersiveLore_Story_12_Title = "Slipping Away",
UI_ImmersiveLore_Story_130_Content = "The knuckle bone's connected to the ankle bone.\nThe ankle bone's connected to the neck bone.\nThe neck bone's connected to the tooth bone.\nThe tooth bone's connected to the eye bone.\nThe eye bone's connected to the bone bone.\nThe bone bone's connected to the bone bone.\nBone bone bone's bone boned bone bone bone bone.\nBone bone bone bone bone bone bone bone bone bone bone bone bone.",
UI_ImmersiveLore_Story_130_Title = "Bones",
UI_ImmersiveLore_Story_131_Content = "Make it back to the van X\nClean up the old rifle X\nDig up ammo cache X\nStake out the firewatch tower X\nSet traps X\nCall mom & dad",
UI_ImmersiveLore_Story_131_Title = "A Plan to Kill Everyone You Meet",
UI_ImmersiveLore_Story_132_Content = "I can't wait for the power to go out. All the damn noises everything makes. Refrigerators humming, water heaters hissing, thermostats clicking, and God forbid the clocks ticking. Tick tick tock, hickory-dickory-dock, goes the DEMON we call a clock. It's only gotta be another couple weeks. Only another couple weeks before tick-tick-tick-tick-tick-tick-tick gives way to beautiful silence and I can smile again. I'd kill them if they had any life in them. Evil things. Monsters. Tick-tock-tick-tock-tick-tock... Gonna make me go to the funny farm.",
UI_ImmersiveLore_Story_132_Title = "Can't Wait",
UI_ImmersiveLore_Story_133_Content = "So what's your reason for going on? Unless you're delusional - and no judgements there - you know there really isn't any hope left for things to go back the way they were. But you're reading this and that means you're still living. What for? Why? Got to be some reason, some purpose, some meaning. Before, we all had excuses, ways to avoid the real answers. Get a promotion, buy a new car, see the kids grow up, make it to retirement. But what now? What's got you here? I'm probably long gone. But I'm writing this for a reason, too, even if I'll never know the answer. I'm curious. I can't fully answer it myself, but I've got the idea. I've always wanted to know what others were up to, what they were doing, and why. I rarely ever got an answer but it's never kept me from asking. And maybe that's the point. Maybe I'm curious because I want you to know, too, the what and the why. Not trying to make you reflective or introspective or what-have-you, you're as busy as I am trying to not die, but you must be asking yourself sometimes as to why. What for? If you figure it out, good for you. If you don't, that's alright. You've got something either way. Some reason to go on, not to give up, not to lie down and die and get back up without any rhyme or reason. I hope you find what you're living for. I hope atleast one of us does, no better me than you, and I hope I figure it out someday, too.",
UI_ImmersiveLore_Story_133_Title = "A Question of Meaning",
UI_ImmersiveLore_Story_134_Content = "Happy holidays!\n\nWishing you a warm winter, a merry Christmas, and a wonderful New Year.\n\nDon't let Jack Frost bite!\n\nNena & Keith",
UI_ImmersiveLore_Story_134_Title = "Mold-Speckled Christmas Card",
UI_ImmersiveLore_Story_135_Content = "This is just a precaution; if you don't heal, I want you to find this note. I have such a strong connection to you, so this paper has to find its way to you, my dear Rick. It's been 10 hours now; I've been counting every minute. I know it's wrong of me to think of the worst, and I know you always tell me not to, but I can't help it. My body is weak; I don't feel well. I'm confused; I'm scared. The van is cold, and without you it feels even colder; it's so fucking cold. I know I should've gotten out with you to try to help you to find more ammo. I can't shake this feeling of dread, Rick. I wish I had been by your side. Please come back to me soon; I need you more than ever. I remember the first time you disappeared for more than a few hours; I was a wreck. I can't go through that again. Please, Rick, come back to me. I'll never take your safety for granted again. Only you can help me contain these emotions for me; only you can help me. I had no one; you knew that the first time we met. Do you know how much I cherish the day we met? I'm sorry, my love. I'm so sorry, Rick, for any pain I may have caused you. Please forgive me and come back to me. I don't want to see you hurt, see you bloody… I'm so scared. I know I physically can't protect you like you do for me, but I promise I'm useful.\nI need you to know you're the red in my blood, and you're my veins. My lover, partner and best friend for life cannot disappear.",
UI_ImmersiveLore_Story_135_Title = "Lucia's Dream",
UI_ImmersiveLore_Story_136_Content = "I have to save you, Lucia. I saw you cry in the middle of the night again. Do you know how much it fucking breaks me? I promised to always protect you, and I will. I won't let anyone or anything hurt you, Lucia. I'll show you there's more to life than you think there is. I know you and I are not the perfect example of what a healthy life should be, but I swear even in this, our new normal, I'll show you what it means to have freedom. How it feels to not be tied to your sicknesses, emotions, and disorders\nI read through the diary. I'm sorry. I know I shouldn't have, but I promise it was for your own good.\nPlease trust me; it really was for your own good.\nI know it can be better; I know it will be soon enough. Because I know you, I know the deepest parts of you.\nI know how pure you are, even when outside is bloody, gory, and messed up. I know how your eyes lit up from the simplest things; I know how happy you get when we go out looting and you find something pretty, even if it's useless for survival. Even if it's just a bracelet, someone's doodle, I know humanity exists because you have it in you, my dear Lucia. I know my Lucia; I know you'll feel better soon.\nToday, I'll go out to loot some more houses, and I promise you I'll bring you something that'll make you happy. No one will love me like you; I know that.\nLive for me, I promise it'll be healing.",
UI_ImmersiveLore_Story_136_Title = "Dia soleado",
UI_ImmersiveLore_Story_137_Content = "I wonder if it's still standing there, in that field east of Irvington. Used to drive past it all the time when I waited tables at Darkwallow Lakehouse. Lots of little trees popping up in that field, but that lone pine looked like it'd been there forever. I don't know what it was, if there had been a farm there once, now just returning to the Earth. Why'd they leave that old pine? What did it mean? Why it, all alone? Did somebody love it once? Or was it just another random sprout? I wish I knew.\n\nI hope it's still standing. I'd like to see it again someday.",
UI_ImmersiveLore_Story_137_Title = "Lone Pine",
